Name,ID,Enabled,Link
"Apollo.io: Free B2B Phone Number & Email Finder","alhgpfoeiimagjlnfekdhkjlkiomcapa",true,"https://chrome.google.com/webstore/detail/alhgpfoeiimagjlnfekdhkjlkiomcapa"
"Jungle Scout","bckjlihkmgolmgkchbpiponapgjenaoa",true,"https://chrome.google.com/webstore/detail/bckjlihkmgolmgkchbpiponapgjenaoa"
"OneTab","chphlpgkkbolifaimnlloiipkdnihall",true,"https://chrome.google.com/webstore/detail/chphlpgkkbolifaimnlloiipkdnihall"
"LeadRocks for LinkedIn: Profiles Scanner","clhmnbpdboilpogpmojknkopklkfggpa",true,"https://chrome.google.com/webstore/detail/clhmnbpdboilpogpmojknkopklkfggpa"
"BuiltWith Technology Profiler","dapjbgnjinbpoindlpdmhochffioedbn",true,"https://chrome.google.com/webstore/detail/dapjbgnjinbpoindlpdmhochffioedbn"
"Email Finder by Snov.io","einnffiilpmgldkapbikhkeicohlaapj",true,"https://chrome.google.com/webstore/detail/einnffiilpmgldkapbikhkeicohlaapj"
"ChatGPT for Amazon with GPT4 Shulex Copilot","fchbhcjlkcdchcaklpkdofllfoimelgb",true,"https://chrome.google.com/webstore/detail/fchbhcjlkcdchcaklpkdofllfoimelgb"
"FullEnrich — LinkedIn Phone & Email Finder","fklpnmgmbmbbclnkhamepifgoejghfhf",true,"https://chrome.google.com/webstore/detail/fklpnmgmbmbbclnkhamepifgoejghfhf"
"Google Search 100 Results","gdcdklbikolacdinbbdakpkkapianaee",true,"https://chrome.google.com/webstore/detail/gdcdklbikolacdinbbdakpkkapianaee"
"Skrapp.io - Email Finder","geplbbbmdpmdodfmohpikfacgkfpkhec",true,"https://chrome.google.com/webstore/detail/geplbbbmdpmdodfmohpikfacgkfpkhec"
"Maps Scraper & Leads Extractor - MapsLeads.net","ghokiciomljbacchbkfhmnlmflbponlf",true,"https://chrome.google.com/webstore/detail/ghokiciomljbacchbkfhmnlmflbponlf"
"Material You NewTab","glloabhodjfmeoccmdngmhkpmdlakfbn",true,"https://chrome.google.com/webstore/detail/glloabhodjfmeoccmdngmhkpmdlakfbn"
"Wappalyzer - Technology profiler","gppongmhjkpfnbhagpmjfkannfbllamg",true,"https://chrome.google.com/webstore/detail/gppongmhjkpfnbhagpmjfkannfbllamg"
"XPath Helper","hgimnogjllphhhkhlmebbmlgjoejdpjl",true,"https://chrome.google.com/webstore/detail/hgimnogjllphhhkhlmebbmlgjoejdpjl"
"Hunter - Email Finder Extension","hgmhmanijnjhaffoampdlllchpolkdnj",true,"https://chrome.google.com/webstore/detail/hgmhmanijnjhaffoampdlllchpolkdnj"
"Growman: IG Email Extractor","hndnabgpcmhdmaejoapophbidipmgnpb",true,"https://chrome.google.com/webstore/detail/hndnabgpcmhdmaejoapophbidipmgnpb"
"Magical: AI Agent for Autofill Automation","iibninhmiggehlcdolcilmhacighjamp",true,"https://chrome.google.com/webstore/detail/iibninhmiggehlcdolcilmhacighjamp"
"WordWeb Dictionary Lookup","ilikenhndcpmliapkmmhoimckaokmihm",true,"https://chrome.google.com/webstore/detail/ilikenhndcpmliapkmmhoimckaokmihm"
"Email Finder by ContactOut – Email Lookup Tool","jjdemeiffadmmjhkbbpglgnlgeafomjo",true,"https://chrome.google.com/webstore/detail/jjdemeiffadmmjhkbbpglgnlgeafomjo"
"Web Scraper - Free Web Scraping","jnhgnonknehpejjnehehllkliplmbmhn",true,"https://chrome.google.com/webstore/detail/jnhgnonknehpejjnehehllkliplmbmhn"
"Viewstats - YouTube video & channel analytics","licaccaeplhkahfkoighjblahbnafadl",true,"https://chrome.google.com/webstore/detail/licaccaeplhkahfkoighjblahbnafadl"
"IDM Integration Module","ngpampappnmepgilojfohadhhmbhlaek",true,"https://chrome.google.com/webstore/detail/ngpampappnmepgilojfohadhhmbhlaek"
"Glimpse – Google Trends Supercharged","ocmojhiloccgbpjnkeiooioedaklapap",true,"https://chrome.google.com/webstore/detail/ocmojhiloccgbpjnkeiooioedaklapap"
"Instant Data Scraper","ofaokhiedipichpaobibbnahnkdoiiah",true,"https://chrome.google.com/webstore/detail/ofaokhiedipichpaobibbnahnkdoiiah"
"RocketReach Chrome Extension","oiecklaabeielolbliiddlbokpfnmhba",true,"https://chrome.google.com/webstore/detail/oiecklaabeielolbliiddlbokpfnmhba"
"LingQ Importer","pdomdmifpbdkkmiepgebeabbbgkdbdof",true,"https://chrome.google.com/webstore/detail/pdomdmifpbdkkmiepgebeabbbgkdbdof"
"Wiza - Phone Number & Email Finder","pjmlkdacmaejhkdcflncbpcpidkggoio",true,"https://chrome.google.com/webstore/detail/pjmlkdacmaejhkdcflncbpcpidkggoio"
"Google Translate","aapbdbdomjkkjkaonfhkkikfgjllcleb",false,"https://chrome.google.com/webstore/detail/aapbdbdomjkkjkaonfhkkikfgjllcleb"
"Save All Resources","abpdnfjocnmdomablahdcfnoggeeiedb",false,"https://chrome.google.com/webstore/detail/abpdnfjocnmdomablahdcfnoggeeiedb"
"Simple Allow Copy","aefehdhdciieocakfobpaaolhipkcpgc",false,"https://chrome.google.com/webstore/detail/aefehdhdciieocakfobpaaolhipkcpgc"
"eRail.in","aopfgjfeiimeioiajeknfidlljpoebgc",false,"https://chrome.google.com/webstore/detail/aopfgjfeiimeioiajeknfidlljpoebgc"
"Web Developer","bfbameneiokkgbdmiekhjnmfkcnldhhm",false,"https://chrome.google.com/webstore/detail/bfbameneiokkgbdmiekhjnmfkcnldhhm"
"Edge Translate","bfdogplmndidlpjfhoijckpakkdjkkil",false,"https://chrome.google.com/webstore/detail/bfdogplmndidlpjfhoijckpakkdjkkil"
"Pop up blocker for Chrome™ - Poper Blocker","bkkbcggnhapdmkeljlodobbkopceiche",false,"https://chrome.google.com/webstore/detail/bkkbcggnhapdmkeljlodobbkopceiche"
"Grammarly: AI Writing and Grammar Checker App","cnlefmmeadmemmdciolhbnfeacpdfbkd",false,"https://chrome.google.com/webstore/detail/cnlefmmeadmemmdciolhbnfeacpdfbkd"
"Tampermonkey","dhdgffkkebhmkfjojejmpbldmpobfkfo",false,"https://chrome.google.com/webstore/detail/dhdgffkkebhmkfjojejmpbldmpobfkfo"
"Search Highlighter","ebpfppbcmjombpnmbobjabipanndeijg",false,"https://chrome.google.com/webstore/detail/ebpfppbcmjombpnmbobjabipanndeijg"
"Temp Business Email Address","ednjmeomfcmonkgaogcgmfeelgegkpma",false,"https://chrome.google.com/webstore/detail/ednjmeomfcmonkgaogcgmfeelgegkpma"
"Video Downloader Professional","elicpjhcidhpjomhibiffojpinpmmpil",false,"https://chrome.google.com/webstore/detail/elicpjhcidhpjomhibiffojpinpmmpil"
"Smuuvr","emfncmdgioneiofbidgfafcekldnfbld",false,"https://chrome.google.com/webstore/detail/emfncmdgioneiofbidgfafcekldnfbld"
"Save to Google Drive","epniebpfenjojmafimadmknblcldlkof",false,"https://chrome.google.com/webstore/detail/epniebpfenjojmafimadmknblcldlkof"
"GoFullPage - Full Page Screen Capture","fdpohaocaechififmbbbbbknoalclacl",false,"https://chrome.google.com/webstore/detail/fdpohaocaechififmbbbbbknoalclacl"
"Notepad","ffbhefmlcoihbjcmibbfkocmnaiacinp",false,"https://chrome.google.com/webstore/detail/ffbhefmlcoihbjcmibbfkocmnaiacinp"
"Website cloner - webpage downloader","ffjnfifmelbmglnajefiipdeejghkkjg",false,"https://chrome.google.com/webstore/detail/ffjnfifmelbmglnajefiipdeejghkkjg"
"Indian Railways @etrain.info","fjjlkgnbokonfaiffccmofmfopdlfmmf",false,"https://chrome.google.com/webstore/detail/fjjlkgnbokonfaiffccmofmfopdlfmmf"
"Chromegle - Omegle IP & Client","gcbbaikjfjmidabapdnebofcmconhdbn",false,"https://chrome.google.com/webstore/detail/gcbbaikjfjmidabapdnebofcmconhdbn"
"Google Docs Offline","ghbmnnjooekpmoecnnnilnnbdlolhkhi",false,"https://chrome.google.com/webstore/detail/ghbmnnjooekpmoecnnnilnnbdlolhkhi"
"Scanlist: Email Finder & Sales Copy Generator","haiofogejpjmphinemcanjidbaibkebc",false,"https://chrome.google.com/webstore/detail/haiofogejpjmphinemcanjidbaibkebc"
"Ahrefs SEO Toolbar: On-Page and SERP Tools","hgmoccdbjhknikckedaaebbpdeebhiei",false,"https://chrome.google.com/webstore/detail/hgmoccdbjhknikckedaaebbpdeebhiei"
"Tamper Chrome (extension)","hifhgpdkfodlpnlmlnmhchnkepplebkb",false,"https://chrome.google.com/webstore/detail/hifhgpdkfodlpnlmlnmhchnkepplebkb"
"Sketchpad for Browser","hkhoblmaekmiepdapgifgcahckeihbkb",false,"https://chrome.google.com/webstore/detail/hkhoblmaekmiepdapgifgcahckeihbkb"
"OneTab","hoimpamkkoehapgenciaoajfkfkpgfop",false,"https://chrome.google.com/webstore/detail/hoimpamkkoehapgenciaoajfkfkpgfop"
"ChromeLens","idikgljglpfilbhaboonnpnnincjhjkd",false,"https://chrome.google.com/webstore/detail/idikgljglpfilbhaboonnpnnincjhjkd"
"QuillBot: AI Writing and Grammar Checker Tool","iidnbdjijdkbmajdffnidomddglmieko",false,"https://chrome.google.com/webstore/detail/iidnbdjijdkbmajdffnidomddglmieko"
"OneLogin for Google Chrome","ioalpmibngobedobkmbhgmadaphocjdn",false,"https://chrome.google.com/webstore/detail/ioalpmibngobedobkmbhgmadaphocjdn"
"Stream Recorder - HLS & m3u8 Video Downloader","iogidnfllpdhagebkblkgbfijkbkjdmm",false,"https://chrome.google.com/webstore/detail/iogidnfllpdhagebkblkgbfijkbkjdmm"
"Email Extractor","jdianbbpnakhcmfkcckaboohfgnngfcc",false,"https://chrome.google.com/webstore/detail/jdianbbpnakhcmfkcckaboohfgnngfcc"
"AI Prompt Genius","jjdnakkfjnnbbckhifcfchagnpofjffo",false,"https://chrome.google.com/webstore/detail/jjdnakkfjnnbbckhifcfchagnpofjffo"
"Salesforce","jjghhkepijgakdammjldcbnjehfkfmha",false,"https://chrome.google.com/webstore/detail/jjghhkepijgakdammjldcbnjehfkfmha"
"Video Downloader Chrome","jlbmenngnppkommpmohppjpkglicldbd",false,"https://chrome.google.com/webstore/detail/jlbmenngnppkommpmohppjpkglicldbd"
"Speechify Text to Speech Voice Reader","ljflmlehinmoeknoonhibbjpldiijjmm",false,"https://chrome.google.com/webstore/detail/ljflmlehinmoeknoonhibbjpldiijjmm"
"Reader Mode","llimhhconnjiflfimocjggfjdlmlhblm",false,"https://chrome.google.com/webstore/detail/llimhhconnjiflfimocjggfjdlmlhblm"
"Video DownloadHelper","lmjnegcaeklhafolokijcfjliaokphfk",false,"https://chrome.google.com/webstore/detail/lmjnegcaeklhafolokijcfjliaokphfk"
"Prospeo - Email Finder","lodchmjigmbiibplfmagekadbpomglad",false,"https://chrome.google.com/webstore/detail/lodchmjigmbiibplfmagekadbpomglad"
"WebChatGPT: ChatGPT with internet access","lpfemeioodjbpieminkklglpmhlngfcn",false,"https://chrome.google.com/webstore/detail/lpfemeioodjbpieminkklglpmhlngfcn"
"Take Webpage Screenshots Entirely - FireShot","mcbpblocgmgfnpjjppndjkmgjaogfceg",false,"https://chrome.google.com/webstore/detail/mcbpblocgmgfnpjjppndjkmgjaogfceg"
"BLACKBOX.AI","mcgbeeipkmelnpldkobichboakdfaeon",false,"https://chrome.google.com/webstore/detail/mcgbeeipkmelnpldkobichboakdfaeon"
"Google Input Tools","mclkkofklkfljcocdinagocijmpgbhab",false,"https://chrome.google.com/webstore/detail/mclkkofklkfljcocdinagocijmpgbhab"
"Copy for Chat GPT","mloblghgjiagjdffmgobhbgmplhongpm",false,"https://chrome.google.com/webstore/detail/mloblghgjiagjdffmgobhbgmplhongpm"
"Displate Fullscreen Viewer","nchdoajnpindhpopdjhlapbdanbbfneo",false,"https://chrome.google.com/webstore/detail/nchdoajnpindhpopdjhlapbdanbbfneo"
"Keepa - Amazon Price Tracker","neebplgakaahbhdphmkckjjcegoiijjo",false,"https://chrome.google.com/webstore/detail/neebplgakaahbhdphmkckjjcegoiijjo"
"hide.me Proxy","ohjocgmpmlfahafbipehkhbaacoemojp",false,"https://chrome.google.com/webstore/detail/ohjocgmpmlfahafbipehkhbaacoemojp"
"AIPRM for ChatGPT","ojnbohmppadfgpejeebfnmnknjdlckgj",false,"https://chrome.google.com/webstore/detail/ojnbohmppadfgpejeebfnmnknjdlckgj"
"Price History & Tracker, Spend Lens: Buyhatke","ojplmecpdpgccookcobabopnaifgidhf",false,"https://chrome.google.com/webstore/detail/ojplmecpdpgccookcobabopnaifgidhf"
"Transkriptor Transcribe Audio to Text","pbajmiiebklfjhkeahpgjdlgclelihjh",false,"https://chrome.google.com/webstore/detail/pbajmiiebklfjhkeahpgjdlgclelihjh"
"Salesforce Lightning Inspector","pcpmcffcomlcjgpcheokdfcjipanjdpc",false,"https://chrome.google.com/webstore/detail/pcpmcffcomlcjgpcheokdfcjipanjdpc"
